Layer,Expert_ID,Total_Activations,Shapley_Value
1,26,697,45.40568580474015
1,38,671,44.9789538881583
1,5,672,44.91833030853004
1,24,670,44.269674638487466
1,7,719,43.74810395388813
1,42,627,42.33791965820629
1,11,603,41.290626372907155
1,78,725,41.13366703744882
1,123,688,40.392102335929
1,62,611,40.21197795530374
1,101,638,40.128913078023444
1,58,593,40.07925472747532
1,22,591,39.32742730017486
1,121,583,39.08988511978761
1,4,619,38.63770202185443
1,20,577,38.505948638584165
1,95,561,38.20690919203178
1,45,577,37.8031145717463
1,47,563,36.608518011465755
1,49,542,36.57551951663477
1,53,599,36.15127919910978
1,120,517,34.714117689965214
1,25,522,34.222052280311516
1,33,480,32.51984372210558
1,57,498,32.1248146088246
1,126,464,31.52887678228346
1,108,464,31.36297274749717
1,30,519,31.326473859844164
1,21,476,31.28476084538381
1,84,449,30.52171789793531
1,106,453,30.077864293659854
1,41,539,29.407675194660595
1,32,446,29.16098532419531
1,103,448,28.60268719629994
1,117,430,28.454555240589855
1,89,404,27.623811811103362
1,82,443,27.182981090100128
1,77,418,26.93017494185441
1,37,417,26.392171857619516
1,122,420,26.11036071825853
1,68,392,25.809927697441577
1,105,361,24.64622939629898
1,85,397,22.177419354838634
1,56,327,21.452407436834644
1,63,296,20.233182070987986
1,36,323,19.458348782597934
1,124,357,19.29922135706338
1,115,302,18.314794215795306
1,12,281,17.455737856878013
1,109,258,17.22928858151568
1,52,265,16.392221515970192
1,104,237,16.101381585600134
1,43,240,15.399054505005548
1,96,202,13.63807007786428
1,31,186,12.662680756395963
1,73,197,12.369513134251756
1,69,188,12.15956797875776
1,44,161,10.57759650640631
1,72,161,10.255570705802146
1,35,157,9.454949944382662
1,1,137,8.264390989988872
1,97,142,8.249907304412318
1,10,122,8.204909446310362
1,61,112,7.348700201870393
1,59,120,6.8528523756554875
1,65,142,4.8317575083426085
1,27,79,4.282536151279202
1,74,70,3.931837844518598
1,51,47,3.02865006702604
1,17,43,2.7576937337782716
1,102,41,2.6718449792698973
1,64,36,2.090501073544248
1,54,36,1.9002595476455326
1,0,29,1.2513904338153505
1,79,20,1.1658787541713016
1,112,24,1.1123470522803116
1,100,27,1.0737238907428008
1,111,22,0.9037819799777531
1,71,20,0.6604560622914353
1,93,8,0.39395624768261034
1,81,3,0.0
1,118,0,0.0
1,55,27,0.0
1,110,1,0.0
2,63,6749,460.8453837596802
2,74,3825,258.16601779755695
2,22,2623,174.4928227130702
2,40,2342,155.70375814397218
2,47,2202,143.62095036151277
2,85,2105,137.84760845383587
2,120,2020,130.05422691879704
2,49,1820,119.34135571510551
